"caseId","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US"
1404,1,3,3,2,2,1,2,2,1,2,10,4,5,5,6,1,4,1,3.8,1.67,3.67,3.89,0,91.3,0,78,3.08,1.75,4,0,1,2,1,2,10,2,1,4,5,6,1,2,2
1405,1,4,1,2,2,2,2,2,2,2,8,4,5,5,2,1,3,1.75,2.7,2,3.67,3.17,0,92.5,0,78,3.17,0.33,3.75,0,1,8,2,2,10,2,1.5,3.2,5,3,1,2,2
1407,3,5,2,2,2,2,2,2,1,2,4,4,2,2,1,2,4,1,4,1.67,5,1.47,0,88.9,0,48,1.58,0.81,4,0,3,4,1,2,8,2,1.25,3.4,3,2,1,1,3
1408,1,4,3,2,2,2,2,2,2,1,11,1,5,4,6,1,4,1,3.6,2.67,5,2.42,0,92.5,0,78,2.42,0.93,4,0,1,5,2,1,10,2,1.5,3.1,4,6,1,2,2
1409,3,5,3,2,2,2,1,2,1,2,8,2,4,5,2,1,3,1.5,1.7,3,2.33,2.08,0,90.2,0,51,2.08,-1.42,3,0,1,8,1,3,4,2,1,2.3,3,1,1,7,3
1410,1,4,2,2,2,2,2,2,1,2,9,4,4,5,2,2,4,1,3.9,1.33,5,2.33,0,92.5,0,66,2.33,1.18,3,0,1,4,1,3,7,1,1.5,3.2,4,2,1,2,2
1412,3,8,2,1,2,1,2,2,2,1,11,2,2,5,1,2,3.5,1.25,3.5,1.67,4,1.17,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414,4,2,3,2,2,1,2,2,2,1,6,3,5,5,2,2,4,1,3.9,1.67,5,3.36,0,93.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1415,1,7,2,2,2,2,2,2,2,1,6,3,2,5,1,4,3.25,3,1.9,1.33,2,2.07,0,94.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,1,6,2,2,2,2,2,2,1,1,7,3,4,5,3,1,4,1.5,3.5,2,3,1.86,0,92.6,0,65,2.3,0.13,4,0,1,5,1,1,7,2,1,3.6,4,5,1,1,3
1417,1,3,3,2,2,2,2,2,1,2,6,3,3,1,2,1,3,1,2.8,2,3.33,1.43,0,92.1,0,45,1.33,-0.3,2.5,0,1,5,1,2,14,2,1.5,2.9,5,1,1,1,1
1418,1,3,1,2,2,1,2,2,1,2,10,4,4,5,3,1,2.75,1,3.4,1.67,4.67,2.25,0,93,0,78,2.4,-0.91,1,0,1,3,1,4,10,1,1.5,2.6,5,2,1,4,3
1420,1,5,2,2,2,2,2,2,1,1,6,4,4,5,2,1,4,1,3.8,2.33,3.33,3.7,0,94.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1421,5,2,2,2,2,2,2,2,2,1,4,3,5,5,1,1,4,1.75,4,1,4,3.13,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,1,4,3,2,2,1,2,2,2,1,8,3,4,4,2,1,4,1,4,1.33,4,4,0,92.1,0,57,3.7,0.06,3.5,0,1,4,2,1,8,2,1,3.5,5,4,1,3,3
1425,1,4,2,2,2,2,2,2,2,1,8,2,4,5,2,2,4,1.25,2.4,2,3.67,1.73,0,92.6,0,51,2.6,-0.82,4,0,1,4,2,1,4,1,1,2.6,4,1,2,9,1
1426,1,4,3,2,2,2,2,2,2,1,2,4,3,3,2,1,4,1,4,1.33,4.67,2.27,0,93.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1427,1,4,2,2,2,2,2,2,2,2,8,2,5,5,2,1,3.25,2,2.7,1.33,4.33,3.33,0,94.7,0,72,3.3,0.7,2.75,0,1,4,2,4,12,1,2,2.1,3,3,1,1,1
1428,1,4,3,2,2,2,2,2,2,2,8,2,5,5,1,2,4,1.25,3.1,1.33,3.67,3.17,0,94.3,0,45,3.17,0.33,3.75,0,2,3,2,3,13,1,1.25,3.2,4,2,1,1,1
1429,5,4,3,1,2,2,2,2,1,2,10,2,5,4,2,2,3,2,3.1,1.33,4,1.32,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1431,5,2,2,2,2,2,2,2,1,1,6,2,4,5,1,1,4,1.75,4,1.67,3.33,2.33,0,94.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432,2,3,5,1,1,1,2,2,2,1,11,2,3,5,1,1,4,1.5,3.8,2.33,1.33,0.77,0,90.2,0,72,1,-0.46,3.75,0,2,3,2,3,12,2,2,3.8,3,2,1,7,7
1434,1,5,3,2,2,2,2,2,2,1,4,3,3,5,6,1,4,2.25,3.6,1.67,3.67,1.25,0,92.9,0,65,2.67,-0.71,4,0,1,4,2,1,9,2,1.25,4,5,2,1,1,1
1439,1,3,2,2,2,2,2,2,1,1,10,3,5,5,5,1,4,1.75,3.4,1,4.67,4.41,0,91.3,0,78,4.33,0.46,4,0,1,3,1,2,10,2,1.25,3.8,5,4,1,2,2
1440,3,3,2,2,1,2,2,2,1,2,10,4,4,5,2,1,4,1,3.4,1,4.33,2.01,0,94.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
