"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex"
2033,0,1,5,7,34,5,5,3,1,1,5,0,4,0,19.701
2034,0,1,6,8,42,3,3,1,1,1,4,0,4,0,23.178
2036,0,1,3,8,32,4,4,1,1,1,4,0,4,0,18.166
2037,0,1,6,7,56,4,3,3,1,1,4,0,4,0,29.702
2040,0,1,6,8,78,1,1,3,1,1,5,0,4,0,39.491
2041,0,1,6,8,57,5,4,2,1,1,5,0,4,0,30.403
2042,0,1,1,8,38,5,4,3,1,1,5,0,4,0,20.741
2044,0,1,8,8,62,5,5,3,1,1,5,0,4,0,33.231
2046,0,1,4,8,53,5,5,2,1,1,3,0,4,0,28.189
2047,0,1,6,8,44,4,3,2,1,1,5,0,4,0,24.264
2048,0,1,5,7,42,4,3,2,1,1,5,0,3.75,0,23.0145
2051,0,1,4,8,42,5,4,3,1,1,5,0,4,0,23.171
2053,0,1,6,8,60,4,4,2,1,1,4,0,4,1,31.708
2054,0,1,7,7,72,5,2,1,1,1,3,0,4,0,37.107
2055,0,1,2,7,34,4,3,2,1,1,3,0,4,0,18.728
2056,0,1,5,8,53,4,3,2,1,1,4,0,4,0,28.162
2058,0,1,5,8,32,1,1,3,1,1,5,0,4,0,18.179
2065,0,1,6,8,65,5,4,3,1,1,5,0,3.5,0,34.025
2068,0,1,6,7,56,3,3,2,1,1,3,0,4,0,29.534
2069,0,1,4,8,54,4,3,3,1,1,5,0,4,1,28.554
2070,0,1,2,8,53,2,2,3,1,1,5,0,4,0,27.396
2071,0,1,3,8,44,4,3,3,1,1,5,0,4,0,23.719
2072,0,1,5,7,53,4,3,3,1,1,4,0,3.75,0,28.0775
2073,0,1,6,8,69,4,3,3,1,1,5,0,4,0,35.788
2076,0,1,6,8,40,4,4,3,1,1,4,0,4,0,22.53
2079,0,0,5,2,42,4,2,3,1,1,5,0,4,0,22.57
2085,0,0,5,7,41,4,3,3,1,1,4,0,4,0,22.584
2097,0,1,3,8,34,3,4,3,1,1,3,0,4,0,19.063
2098,0,1,6,8,56,5,4,3,1,1,5,0,4,0,29.993
2099,0,1,5,7,52,3,1,3,1,1,5,0,4,0,27.443
2100,0,1,7,8,57,5,4,3,1,1,5,0,4,0,30.65
2103,0,1,4,8,50,5,1,3,0,1,5,0,3.75,0,26.0705
2104,0,1,6,8,52,4,4,3,1,1,5,0,4,0,28.073
2105,0,1,6,8,49,4,4,3,1,1,4,0,4,1,26.708
2106,0,1,2,8,42,1,4,3,1,1,4,0,3.75,0,22.3545
2107,0,1,3,8,53,1,1,2,1,1,5,0,4,0,27.373
2108,0,1,7,8,57,4,2,3,1,1,4,0,4,1,30.402
2110,0,1,5,8,49,4,4,3,1,1,5,0,4,0,26.498
2111,0,0,5,7,50,3,3,3,1,1,3,0,4,0,26.596
2114,0,1,5,8,39,4,4,2,1,1,4,0,4,0,21.824
2115,0,1,6,8,44,3,3,2,1,1,5,0,4,0,24.18
2116,0,1,3,8,53,4,4,3,1,1,5,0,4,0,27.938
2117,0,1,2,8,42,4,3,3,1,1,5,0,4,0,22.603
2118,0,0,5,8,53,1,1,2,1,1,4,0,4,1,27.746
2119,0,1,2,8,53,3,3,3,1,1,4,1,4,0,27.58
2121,0,1,4,8,29,1,3,3,1,1,4,0,4,0,16.745
2122,0,1,2,8,52,5,4,2,1,1,4,0,4,0,27.281
2123,0,1,5,8,72,4,3,1,1,1,5,0,4,0,36.869
2124,0,1,4,8,55,5,4,3,1,1,4,0,4,0,29.103
2125,0,1,5,2,53,3,1,2,1,1,4,0,4,0,27.398
2127,0,1,2,8,53,4,3,3,0,1,3,1,4,0,27.17
2128,0,1,6,8,72,5,4,3,1,1,5,0,4,0,37.337
2129,0,1,3,8,55,4,4,3,1,1,4,0,4,0,28.821
2130,0,0,5,7,42,5,1,3,1,1,3,0,4,1,22.963
2131,0,1,6,8,53,5,3,1,1,1,5,0,4,0,28.43
2132,0,1,5,7,42,3,2,1,1,1,5,0,4,0,22.843
2133,0,1,6,8,60,3,2,3,1,1,5,0,3.75,0,31.4355
2134,0,1,2,8,39,5,4,3,1,1,5,0,4,0,21.398
2136,0,1,3,8,40,5,5,3,1,1,4,0,4,0,22.108
2137,0,1,2,8,44,2,2,1,1,1,2,1,4,1,23.156
2143,0,1,6,7,60,4,1,2,1,1,5,0,1,0,30.754
2144,0,1,4,8,42,3,3,2,1,1,5,0,3.5,1,22.814
2145,0,1,5,7,46,4,4,3,1,1,5,0,3,0,24.839
2146,0,1,5,7,30,3,3,1,0,1,5,0,4,0,16.964
2147,0,1,6,8,50,3,3,2,1,1,5,0,4,0,26.934
2148,0,1,5,8,34,5,5,1,1,1,5,0,4,0,19.687
2149,0,1,5,7,42,4,2,3,1,1,4,0,4,0,22.99
2150,0,1,4,7,56,3,1,2,1,1,5,0,4,0,29.032
2151,0,0,3,8,18,3,3,1,1,1,5,0,4,0,11.568
2152,0,1,5,8,34,4,2,2,1,1,4,0,4,0,19.353
2153,0,1,2,8,31,3,1,2,1,1,4,1,4,0,17.257
2154,0,1,5,7,38,4,4,3,1,1,4,0,4,1,21.377
2156,0,1,2,8,39,5,4,3,1,1,4,1,4,0,21.41
2157,0,0,4,7,26,4,1,3,1,1,3,0,4,0,15.29
2158,0,1,6,7,62,4,4,2,1,1,5,0,4,0,32.53
2159,0,1,6,8,55,5,2,3,1,1,5,0,4,0,29.358
2160,0,1,4,7,42,4,2,2,1,1,4,0,4,0,22.743
2162,0,1,6,8,50,4,2,1,1,1,5,0,4,0,26.881
2163,0,1,6,8,50,4,5,2,1,1,3,0,3.25,0,26.9755
2164,0,1,9,8,78,5,3,2,1,1,5,0,4,0,40.548
2165,0,1,6,8,51,5,5,1,1,1,4,0,4,0,27.653
2166,0,1,6,7,23,3,2,2,1,1,4,0,4,0,14.334
2167,0,0,5,8,51,5,4,2,1,1,5,0,4,0,27.416
2168,0,0,3,8,55,3,2,3,1,1,4,0,4,0,28.526
2170,0,1,3,8,31,5,2,3,1,1,4,0,4,0,17.713
2171,0,1,6,8,57,4,2,1,1,1,4,0,4,0,30.059
2172,0,1,7,7,49,1,2,1,1,1,5,0,4,0,26.284
2173,0,1,5,7,24,3,3,2,1,1,3,1,3.75,1,14.6925
2174,0,1,2,8,16,4,4,3,1,1,3,0,4,0,10.687
2175,0,1,5,8,53,4,2,3,1,1,4,0,4,0,28.123
2181,0,1,2,8,39,2,1,2,1,1,4,0,4,0,20.798
2185,0,0,5,8,22,3,3,3,0,1,5,0,4,0,13.439
2187,0,1,6,7,78,3,3,3,1,1,5,0,4,0,39.751
2188,0,1,1,8,53,4,2,3,1,1,3,1,4,0,27.343
2197,0,1,6,8,51,4,2,3,1,1,5,0,3,0,27.24
2201,0,1,3,8,53,4,2,3,1,1,5,0,4,0,27.762
2203,0,1,6,8,60,5,4,3,1,1,4,0,4,1,31.841
2209,0,1,3,8,56,3,2,3,1,1,4,1,3,0,28.869
2210,0,1,5,8,32,4,3,3,1,1,5,0,4,0,18.607
2214,0,1,4,8,53,2,3,3,1,1,4,0,4,1,27.892
2215,0,1,3,8,32,5,3,2,1,1,4,0,4,0,18.211
2216,0,1,6,8,58,2,1,3,1,1,5,0,4,1,30.442
2217,0,1,6,8,51,5,5,3,1,1,5,0,4,0,27.786
2219,0,1,3,8,42,5,4,3,1,1,3,0,4,0,22.903
